Timestamp,Which of the following would you like to see discussed at a future meetup:,I am currently employed as a:,Years experience in full-time front end development work:,My current salary is:,I work for:,"In your job, which of the following do you use regularly:"
5/27/2014 12:16:42,"HTML5 Canvas, SVG, WebGL, Angular.js, Node.js",Designer / Developer,2-5 years,"$50,000 - $80,000",A Web Consultency,"JavaScript, jQuery, Sass, Responsive Design"
5/27/2014 12:16:51,"JavaScript Best Practicies, jQuery, HTML5 Canvas",Looking for a Job,<1 years,"$10,000 - $30,000",A Web Startup,"JavaScript, HTML5 Canvas"
5/27/2014 12:17:04,"JavaScript Best Practicies, CoffeeScript, jQuery, Sass, LESS, HTML5 Canvas, SVG, WebGL, WebRTC, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Full-stack Developer,5+ years,"$80,000 - $100,000",A Non-web company (2-50 Employees),"JavaScript, jQuery, SmartClient, Bootstrap"
5/27/2014 12:17:19,"CoffeeScript, Sass, HTML5 Canvas, SVG, Angular.js, Ember.js",Designer,2-5 years,"$30,000 - $50,000",A Web Startup,"HTML5 Canvas, Responsive Design"
5/27/2014 12:18:14,"JavaScript Best Practicies, jQuery, HTML5 Canvas, Angular.js",Designer / Developer,5+ years,"$50,000 - $80,000",Myself,Responsive Design
5/27/2014 12:18:25,"JavaScript Best Practicies, Sass, HTML5 Canvas, SVG, Ember.js, D3.js, Responsive Design",Full-stack Developer,2-5 years,"$100,000 - $130,000",A Large Web Company (50+ Employees),"JavaScript, jQuery"
5/27/2014 12:20:41,"HTML5 Canvas, Responsive Design",Designer,5+ years,"$10,000 - $30,000",Myself,"JavaScript, Responsive Design"
5/27/2014 12:22:30,"JavaScript Best Practicies, Sass, LESS, HTML5 Canvas, SVG, Responsive Design",Designer / Developer,<1 years,"$30,000 - $50,000",A Non-web company (2-50 Employees),"JavaScript, Responsive Design"
5/27/2014 12:27:57,"Sass, LESS, HTML5 Canvas, SVG, Angular.js, D3.js",Full-stack Developer,,,A Web Startup,"JavaScript, SVG, Angular.js, D3.js, Responsive Design, Sencha Touch"
5/27/2014 12:30:01,"Sass, LESS, HTML5 Canvas, Responsive Design",Designer / Developer,5+ years,"$30,000 - $50,000",A Non-web company (2-50 Employees),"JavaScript, jQuery, Responsive Design"
5/27/2014 12:31:38,"JavaScript Best Practicies, CoffeeScript, jQuery, Sass, Angular.js, D3.js, Responsive Design",Full-stack Developer,1-2 years,"$50,000 - $80,000",A Web Startup,"JavaScript, CoffeeScript, jQuery, Sass, Angular.js, Responsive Design"
5/27/2014 12:31:44,"SVG, WebGL",Looking for a Job,5+ years,"$50,000 - $80,000",Myself,"JavaScript, jQuery, HTML5 Canvas, Responsive Design, Boostrap"
5/27/2014 12:32:28,"JavaScript Best Practicies, CoffeeScript, jQuery, HTML5 Canvas, SVG, Backbone.js, Angular.js, Ember.js, Node.js",Designer / Developer,1-2 years,"$50,000 - $80,000",A Non-web company (2-50 Employees),"JavaScript, jQuery, Responsive Design"
5/27/2014 12:32:39,jQuery,Full-stack Developer,5+ years,"$100,000 - $130,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Sass"
5/27/2014 12:35:04,Angular.js,Front End Developer,1-2 years,"$50,000 - $80,000",A Web Startup,"JavaScript, jQuery, Sass, Angular.js"
5/27/2014 12:35:03,"JavaScript Best Practicies, Sass, Responsive Design",Full-stack Developer,5+ years,,A Large Non-web company (50+ Employees),"JavaScript, jQuery, Sass, HTML5 Canvas, SVG, Ext JS"
5/27/2014 12:40:37,"JavaScript Best Practicies, jQuery",Front End Developer,2-5 years,"$50,000 - $80,000",A Large Web Company (50+ Employees),"jQuery, Sass"
5/27/2014 12:41:39,"JavaScript Best Practicies, jQuery, Sass, LESS, HTML5 Canvas, SVG, WebGL, WebRTC, Backbone.js, Angular.js, Ember.js, Node.js, D3.js",Full-stack Developer,5+ years,"$50,000 - $80,000",Myself,"JavaScript, jQuery, Responsive Design"
5/27/2014 12:49:25,"JavaScript Best Practicies, CoffeeScript, jQuery, HTML5 Canvas, SVG, Ember.js, D3.js, Responsive Design",Full-stack Developer,1-2 years,"$50,000 - $80,000",,"JavaScript, jQuery, Ember.js, Responsive Design"
5/27/2014 12:58:24,"JavaScript Best Practicies, Sass, SVG, WebGL, Backbone.js, Angular.js, Ember.js, Node.js, D3.js",Front End Developer,2-5 years,,Myself,"JavaScript, jQuery, Sass, Responsive Design"
5/27/2014 13:01:16,"SVG, Angular.js, D3.js",Full-stack Developer,5+ years,"$130,000+",A Web Startup,"JavaScript, CoffeeScript, jQuery, Sass, Responsive Design"
5/27/2014 13:11:45,"JavaScript Best Practicies, jQuery, LESS, HTML5 Canvas, SVG",Front End Developer,5+ years,"$50,000 - $80,000",A Large Non-web company (50+ Employees),"Less, Responsive Design, CSS3"
5/27/2014 13:11:51,"JavaScript Best Practicies, jQuery, Sass, HTML5 Canvas",Full-stack Developer,<1 years,"$50,000 - $80,000",A Large Web Company (50+ Employees),
5/27/2014 13:22:42,"JavaScript Best Practicies, jQuery, Angular.js, D3.js",Full-stack Developer,5+ years,"$130,000+",A Large Non-web company (50+ Employees),Swing
5/27/2014 13:23:02,"JavaScript Best Practicies, CoffeeScript, Sass, LESS, SVG, WebGL, Angular.js, D3.js, Responsive Design",Full-stack Developer,5+ years,,Myself,"JavaScript, jQuery, Angular.js, Responsive Design"
5/27/2014 13:41:02,"JavaScript Best Practicies, CoffeeScript, jQuery, Sass, LESS, HTML5 Canvas, SVG, WebGL, Backbone.js, Angular.js, Ember.js, Node.js, Responsive Design",Looking for a Job,<1 years,"$10,000 - $30,000",Myself,"JavaScript, Sass, Responsive Design, git, yeoman, grunt, bower"
5/27/2014 13:48:05,Responsive Design,Full-stack Developer,2-5 years,"$10,000 - $30,000",Myself,"JavaScript, jQuery, HTML5 Canvas, Responsive Design"
5/27/2014 13:51:53,JavaScript Best Practicies,Front End Developer,5+ years,"$130,000+",A Large Web Company (50+ Employees),"JavaScript, cujojs"
5/27/2014 13:53:10,"JavaScript Best Practicies, CoffeeScript, jQuery, Sass, LESS, HTML5 Canvas, SVG, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Designer / Developer,2-5 years,"$80,000 - $100,000",A Web Startup,"JavaScript, jQuery, Sass, Backbone.js, Responsive Design"
5/27/2014 13:55:38,,Designer,<1 years,"$50,000 - $80,000",A Web Startup,
5/27/2014 14:09:56,"JavaScript Best Practicies, jQuery, Sass, Responsive Design",Front End Developer,2-5 years,"$50,000 - $80,000",A Web Startup,"jQuery, Sass"
5/27/2014 14:20:04,"JavaScript Best Practicies, jQuery, Sass, LESS, HTML5 Canvas, SVG, Backbone.js, Node.js, D3.js, Responsive Design",Front End Developer,1-2 years,"$50,000 - $80,000",A Web Startup,JavaScript
5/27/2014 14:36:54,"JavaScript Best Practicies, CoffeeScript, jQuery, Sass, Backbone.js, Angular.js, Node.js, D3.js, Responsive Design",Full-stack Developer,2-5 years,"$100,000 - $130,000",A Web Startup,"JavaScript, CoffeeScript, jQuery, Sass, Responsive Design"
5/27/2014 14:42:15,"JavaScript Best Practicies, CoffeeScript, jQuery, Sass, LESS, HTML5 Canvas, SVG, WebGL, WebRTC, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Designer,5+ years,"$80,000 - $100,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Sass, SVG, Responsive Design"
5/27/2014 14:43:18,"JavaScript Best Practicies, Sass, HTML5 Canvas, SVG, Angular.js, Ember.js, Node.js, Responsive Design",Full-stack Developer,5+ years,"$100,000 - $130,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Sass, Angular.js, Responsive Design"
5/27/2014 14:48:43,"JavaScript Best Practicies, HTML5 Canvas, WebGL, WebRTC, Responsive Design",Front End Developer,1-2 years,"$80,000 - $100,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Sass, SVG, Responsive Design"
5/27/2014 15:05:40,"JavaScript Best Practicies, Sass, Angular.js, Node.js, D3.js, Responsive Design",Front End Developer,5+ years,"$130,000+",Myself,"JavaScript, jQuery, Sass, Backbone.js, Angular.js, Node.js, Responsive Design"
5/27/2014 15:13:04,"JavaScript Best Practicies, jQuery, Backbone.js, Angular.js, Ember.js, Node.js, D3.js",Looking for a Job,1-2 years,,,
5/27/2014 15:26:11,"JavaScript Best Practicies, CoffeeScript, jQuery, Sass, HTML5 Canvas, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Full-stack Developer,<1 years,"$50,000 - $80,000",A Web Startup,"JavaScript, jQuery, IIS"
5/27/2014 15:32:05,"jQuery, HTML5 Canvas",Full-stack Developer,5+ years,"$130,000+",A Web Consultency,"JavaScript, jQuery, Responsive Design"
5/27/2014 15:46:46,"Backbone.js, Angular.js, Node.js, D3.js",Full-stack Developer,<1 years,"$100,000 - $130,000",A Large Web Company (50+ Employees),"JavaScript, CoffeeScript, jQuery, Sass, Backbone.js, Node.js"
5/27/2014 15:56:15,"JavaScript Best Practicies, jQuery, SVG, Ember.js",Designer / Developer,5+ years,"$50,000 - $80,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Responsive Design"
5/27/2014 16:01:56,"JavaScript Best Practicies, jQuery, HTML5 Canvas, Angular.js",Full-stack Developer,1-2 years,"$50,000 - $80,000",A Web Startup,"JavaScript, jQuery"
5/27/2014 16:27:35,"Sass, HTML5 Canvas, SVG",Designer / Developer,5+ years,"$50,000 - $80,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Sass, SVG, Responsive Design"
5/27/2014 16:44:16,HTML5 Canvas,Designer,2-5 years,"$50,000 - $80,000",A Web Startup,JavaScript
5/27/2014 17:16:00,"JavaScript Best Practicies, Sass, HTML5 Canvas, Backbone.js, Angular.js, Node.js, D3.js",Full-stack Developer,1-2 years,"$50,000 - $80,000",A Large Web Company (50+ Employees),"JavaScript, Angular.js, .net [c#, sql]"
5/27/2014 17:19:25,"JavaScript Best Practicies, HTML5 Canvas, WebRTC, Backbone.js, Angular.js, Ember.js, Node.js, D3.js",Full-stack Developer,2-5 years,"$50,000 - $80,000",A Non-web company (2-50 Employees),"JavaScript, jQuery, Less, Node.js, Responsive Design"
5/27/2014 18:20:44,"JavaScript Best Practicies, CoffeeScript, jQuery, Angular.js, D3.js",Designer,<1 years,"$50,000 - $80,000",A Large Non-web company (50+ Employees),
5/27/2014 19:41:45,"JavaScript Best Practicies, jQuery, Angular.js, Node.js, Responsive Design",Looking for a Job,5+ years,"$80,000 - $100,000",Myself,"JavaScript, jQuery, Responsive Design"
5/27/2014 20:15:21,"JavaScript Best Practicies, jQuery, Sass, HTML5 Canvas, SVG",Front End Developer,<1 years,"$50,000 - $80,000",A Large Web Company (50+ Employees),Sass
5/27/2014 21:50:59,"JavaScript Best Practicies, WebRTC, Backbone.js, Angular.js, Ember.js, Node.js, D3.js",Front End Developer,<1 years,"$50,000 - $80,000",A Web Startup,"JavaScript, HTML5 Canvas, WebRTC, Angular.js, Node.js"
5/27/2014 22:06:05,"JavaScript Best Practicies, CoffeeScript, jQuery, Sass, LESS, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Designer / Developer,<1 years,"$30,000 - $50,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Responsive Design"
5/27/2014 22:17:53,"JavaScript Best Practicies, jQuery, Sass, LESS, SVG, Responsive Design",Designer,<1 years,"$30,000 - $50,000",A Non-web company (2-50 Employees),"jQuery, Less, SVG, Responsive Design"
5/28/2014 9:00:18,"JavaScript Best Practicies, Ember.js, D3.js, Responsive Design",Full-stack Developer,<1 years,"$50,000 - $80,000",A Web Consultency,JavaScript
5/28/2014 9:01:39,"CoffeeScript, HTML5 Canvas, SVG, Backbone.js, Angular.js, Ember.js, Responsive Design",Designer,1-2 years,,Myself,"jQuery, SVG, Responsive Design"
5/28/2014 13:03:15,"JavaScript Best Practicies, jQuery, HTML5 Canvas, SVG, Node.js, Responsive Design",Front End Developer,5+ years,,Myself,"JavaScript, jQuery, SVG, Responsive Design"
5/28/2014 13:08:12,"JavaScript Best Practicies, CoffeeScript, jQuery, Sass, LESS, HTML5 Canvas, SVG, WebGL, WebRTC, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Designer / Developer,<1 years,"$10,000 - $30,000",A Large Web Company (50+ Employees),"JavaScript, Responsive Design"
5/28/2014 14:01:51,"JavaScript Best Practicies, HTML5 Canvas, WebRTC, Angular.js, Node.js, D3.js",Full-stack Developer,2-5 years,"$80,000 - $100,000",A Web Startup,"JavaScript, jQuery, Sass, WebRTC, Angular.js, Node.js"
5/28/2014 14:18:11,"JavaScript Best Practicies, CoffeeScript, HTML5 Canvas, SVG, Backbone.js, Angular.js, Responsive Design",Designer / Developer,5+ years,"$80,000 - $100,000",A Large Web Company (50+ Employees),"jQuery, Sass, Responsive Design"
5/28/2014 14:23:26,"JavaScript Best Practicies, jQuery, D3.js",Full-stack Developer,<1 years,,A Large Web Company (50+ Employees),Java/C++
5/28/2014 15:48:18,"JavaScript Best Practicies, jQuery, Sass, HTML5 Canvas, SVG, Backbone.js, Angular.js, Ember.js, Node.js, D3.js",Front End Developer,<1 years,"$50,000 - $80,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Sass, HTML5 Canvas, SVG, Responsive Design"
5/28/2014 16:00:07,"JavaScript Best Practicies, HTML5 Canvas, SVG, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Front End Developer,2-5 years,"$100,000 - $130,000",A Web Startup,"JavaScript, jQuery, Sass, SVG, Angular.js, Node.js, D3.js, Responsive Design"
5/28/2014 17:14:06,"HTML5 Canvas, Angular.js, Responsive Design",Full-stack Developer,5+ years,"$130,000+",A Large Web Company (50+ Employees),"JavaScript, CoffeeScript, jQuery, Sass, Less, HTML5 Canvas, Angular.js, Node.js, D3.js, Responsive Design, Meteor.js"
5/28/2014 17:19:53,"JavaScript Best Practicies, jQuery, LESS, HTML5 Canvas, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Full-stack Developer,5+ years,"$100,000 - $130,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Less, REST/SOAP"
5/28/2014 17:21:04,"JavaScript Best Practicies, jQuery, Sass, LESS, HTML5 Canvas, Angular.js, Node.js, D3.js, Responsive Design",Full-stack Developer,5+ years,"$80,000 - $100,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Angular.js"
5/28/2014 17:30:33,"JavaScript Best Practicies, CoffeeScript, jQuery, Sass, LESS, HTML5 Canvas, SVG, WebGL, WebRTC, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Designer,1-2 years,"$100,000 - $130,000",Myself,Responsive Design
5/28/2014 17:35:41,"JavaScript Best Practicies, jQuery, HTML5 Canvas, Node.js, Responsive Design",Designer / Developer,2-5 years,"$80,000 - $100,000",A Large Non-web company (50+ Employees),"jQuery, Responsive Design"
5/28/2014 18:00:40,,Looking for a Job,5+ years,,,"JavaScript, jQuery, Sass, Less, SVG, Backbone.js, Angular.js, Node.js, D3.js, Responsive Design"
5/28/2014 18:12:17,"JavaScript Best Practicies, jQuery, Sass, LESS, HTML5 Canvas, Responsive Design",Front End Developer,2-5 years,"$50,000 - $80,000",A Large Non-web company (50+ Employees),"jQuery, Responsive Design"
5/28/2014 19:20:23,"JavaScript Best Practicies, CoffeeScript, jQuery, Sass, D3.js, Responsive Design",Designer / Developer,5+ years,"$80,000 - $100,000",Myself,"JavaScript, jQuery, Sass, D3.js, Responsive Design"
5/28/2014 19:28:20,"CoffeeScript, Sass, SVG, WebGL",Designer / Developer,1-2 years,"$80,000 - $100,000",A Web Consultency,"CoffeeScript, jQuery, Sass, SVG, Responsive Design"
5/28/2014 21:54:10,"jQuery, Sass, LESS, Node.js, Responsive Design",Looking for a Job,1-2 years,"$10,000 - $30,000",Myself,"JavaScript, jQuery, Responsive Design"
5/28/2014 23:13:44,"JavaScript Best Practicies, Angular.js, D3.js",Full-stack Developer,<1 years,"$130,000+",Myself,"JavaScript, jQuery, Less, Backbone.js, Java, Python"
5/29/2014 0:21:08,"JavaScript Best Practicies, jQuery, HTML5 Canvas, SVG, WebGL, WebRTC, Backbone.js, Angular.js, Node.js, D3.js, Responsive Design",Full-stack Developer,2-5 years,"$80,000 - $100,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Sass, D3.js"
5/29/2014 0:34:01,"jQuery, Responsive Design",Looking for a Job,5+ years,,,"JavaScript, jQuery, Responsive Design"
5/29/2014 10:28:48,"JavaScript Best Practicies, jQuery, Sass, HTML5 Canvas, SVG, WebGL, Angular.js, Node.js",Designer,5+ years,"$50,000 - $80,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Responsive Design"
5/29/2014 17:00:57,"JavaScript Best Practicies, jQuery, WebRTC, D3.js, Responsive Design",Front End Developer,2-5 years,"$80,000 - $100,000",A Web Consultency,"JavaScript, jQuery, Sass, Less, HTML5 Canvas, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design"
